IDSBR,Status
13058179,Berhasil
13158180,Berhasil
13158185,Berhasil
16740311,Berhasil
16740327,Berhasil
16740425,Berhasil
16740488,Berhasil
16740581,Berhasil
16740630,Berhasil
16740654,Berhasil
16740765,Berhasil
16740869,Berhasil
16741142,Berhasil
16742873,Berhasil
16758604,Berhasil
16758626,Berhasil
16758701,Berhasil
16758731,Berhasil
16758913,Berhasil
16759075,Berhasil
16769798,Berhasil
16769800,Berhasil
16769899,Berhasil
16769903,Berhasil
16770005,Berhasil
16770038,Berhasil
16770043,Berhasil
16770088,Berhasil
16770141,Berhasil
16770145,Berhasil
16770203,Berhasil
16770234,Berhasil
16770257,Berhasil
16770260,Berhasil
16770266,Berhasil
16770738,Berhasil
16770827,Berhasil
16770852,Berhasil
16770853,Berhasil
16770873,Berhasil
16770916,Berhasil
16770948,Berhasil
16770957,Berhasil
16770977,Berhasil
16771044,Berhasil
16771047,Berhasil
16771054,Berhasil
16771100,Berhasil
16771116,Berhasil
16771137,Berhasil
16771207,Berhasil
16771292,Berhasil
16771305,Berhasil
16771330,Berhasil
16771337,Berhasil
16771363,Berhasil
16771398,Berhasil
16771490,Berhasil
16771503,Berhasil
16771508,Berhasil
16771569,Berhasil
16771681,Berhasil
16771780,Berhasil
16771891,Berhasil
16771940,Berhasil
16771947,Berhasil
16772023,Berhasil
16817887,Berhasil
16817889,Berhasil
16817890,Berhasil
2476688,Berhasil
2479557,Berhasil
2484309,Berhasil
2486484,Berhasil
2487490,Gagal - PCL nan tidak ada
2489085,Gagal - PCL nan tidak ada
2489147,Berhasil
2489429,Berhasil
2491917,Berhasil
2493083,Berhasil
2494299,Berhasil
2495722,Berhasil
2495929,Berhasil
2499442,Berhasil
2499943,Berhasil
2501345,Berhasil
2504793,Berhasil
2507494,Berhasil
2508994,Berhasil
2512593,Berhasil
2514226,Berhasil
2519732,Berhasil
2521169,Berhasil
2523338,Berhasil
2548605,Berhasil
2549504,Berhasil
2550745,Berhasil
2550968,Berhasil
2551156,Berhasil
2551373,Berhasil
2552675,Berhasil
2557815,Berhasil
2573381,Berhasil
2573523,Berhasil
2578921,Berhasil
2578957,Berhasil
2579541,Berhasil
2580089,Berhasil
2580093,Berhasil
2585962,Berhasil
2594893,Berhasil
2597581,Berhasil
2599722,Berhasil
2600428,Berhasil
2603034,Berhasil
2612031,Berhasil
2613501,Berhasil
2614141,Berhasil
2620975,Berhasil
2621716,Berhasil
2622537,Berhasil
2623601,Berhasil
2623818,Berhasil
2630031,Berhasil
2631105,Berhasil
2636902,Berhasil
2640568,Berhasil
2642246,Berhasil
2647695,Berhasil
2649200,Berhasil
2649734,Berhasil
2667574,Berhasil
2670754,Berhasil
2672609,Berhasil
2672977,Berhasil
2676761,Berhasil
2680584,Berhasil
2680633,Berhasil
2682062,Berhasil
2689622,Gagal - PCL nan tidak ada
2690035,Berhasil
2693447,Berhasil
2695648,Berhasil
2710433,Berhasil
2713713,Berhasil
2719483,Berhasil
2727742,Berhasil
2753697,Berhasil
2754918,Berhasil
2776168,Berhasil
2776770,Berhasil
2777859,Berhasil
2784915,Berhasil
2784929,Berhasil
2785317,Berhasil
2789650,Berhasil
2791195,Berhasil
2799437,Berhasil
2803767,Berhasil
2806747,Berhasil
2807679,Berhasil
2812297,Berhasil
2813424,Berhasil
2814328,Berhasil
2817228,Berhasil
2821948,Berhasil
2822926,Berhasil
2824330,Berhasil
2836570,Berhasil
2837667,Berhasil
2838472,Berhasil
2841023,Berhasil
2844537,Berhasil
2846760,Berhasil
2846823,Berhasil
2850266,Berhasil
2853585,Berhasil
2854079,Berhasil
2855273,Berhasil
2856412,Berhasil
2858493,Berhasil
2859355,Berhasil
2861525,Berhasil
2863394,Berhasil
2873192,Berhasil
2876402,Berhasil
2876669,Berhasil
2877257,Berhasil
2878567,Berhasil
2879927,Berhasil
2881860,Berhasil
2884152,Berhasil
2888648,Berhasil
2890837,Berhasil
2894971,Berhasil
2896732,Berhasil
2899137,Berhasil
2899296,Berhasil
2900653,Berhasil
2900750,Berhasil
2901116,Berhasil
2903869,Berhasil
2909345,Berhasil
2909438,Berhasil
2909744,Berhasil
2909817,Berhasil
2913505,Berhasil
2917248,Berhasil
2919827,Berhasil
2920880,Berhasil
2921071,Berhasil
2924457,Berhasil
2924516,Berhasil
2924683,Berhasil
2926953,Berhasil
2929110,Berhasil
2929169,Berhasil
2929942,Berhasil
2930922,Berhasil
2931103,Berhasil
2932879,Berhasil
2933595,Berhasil
2933936,Berhasil
2933937,Berhasil
2934226,Berhasil
2941057,Berhasil
2958055,Berhasil
2958450,Berhasil
2960141,Berhasil
2962462,Berhasil
2970150,Berhasil
2971691,Berhasil
2972200,Berhasil
2975672,Berhasil
2977199,Berhasil
2978727,Berhasil
2979057,Berhasil
2983969,Berhasil
2983978,Berhasil
2984563,Berhasil
2985403,Berhasil
2987193,Berhasil
2987933,Berhasil
2988182,Berhasil
2989369,Berhasil
2991249,Berhasil
2993816,Berhasil
2995435,Berhasil
2995855,Berhasil
2996037,Berhasil
2996038,Berhasil
2996800,Berhasil
2997186,Berhasil
2997191,Berhasil
2997517,Berhasil
2998311,Berhasil
2998473,Berhasil
3000010,Berhasil
3001404,Berhasil
3002838,Berhasil
3003299,Berhasil
3005497,Berhasil
3005532,Berhasil
3013977,Berhasil
3016064,Berhasil
3017768,Berhasil
3018028,Berhasil
3020013,Berhasil
3020049,Berhasil
3023199,Berhasil
3027026,Berhasil
3027509,Berhasil
3028477,Berhasil
3032251,Berhasil
3032255,Berhasil
3034109,Berhasil
3036715,Berhasil
3037166,Berhasil
3037416,Berhasil
3038141,Berhasil
3040628,Berhasil
3041511,Berhasil
3046271,Berhasil
3047132,Berhasil
3047714,Berhasil
3051906,Berhasil
3056915,Berhasil
3060573,Berhasil
3062135,Berhasil
3065180,Berhasil
3067558,Berhasil
3068375,Berhasil
3068832,Berhasil
3068918,Berhasil
3071654,Berhasil
3072403,Berhasil
3077911,Berhasil
3085093,Berhasil
3085573,Berhasil
3089871,Berhasil
3091867,Berhasil
3092272,Berhasil
3092280,Berhasil
3092790,Berhasil
3095179,Berhasil
3106277,Berhasil
3108034,Berhasil
3108755,Berhasil
3114935,Berhasil
3119680,Berhasil
3119935,Berhasil
3123559,Berhasil
3129169,Berhasil
3135204,Berhasil
3136208,Berhasil
3140532,Berhasil
3149673,Berhasil
3152253,Berhasil
3155537,Berhasil
3158628,Berhasil
3159345,Berhasil
3161814,Berhasil
3163939,Berhasil
3170865,Berhasil
3171130,Berhasil
3171656,Berhasil
3182710,Berhasil
3185231,Berhasil
3186449,Berhasil
3187165,Berhasil
3188716,Berhasil
3189011,Berhasil
3191878,Berhasil
3201107,Berhasil
3202042,Berhasil
3208584,Berhasil
3208730,Berhasil
3214342,Berhasil
3215199,Berhasil
3219724,Berhasil
3222941,Berhasil
3225014,Berhasil
3226740,Berhasil
3228081,Berhasil
3228268,Berhasil
3228777,Berhasil
3234494,Berhasil
3236554,Berhasil
3242427,Berhasil
3248015,Berhasil
3251357,Berhasil
3251746,Berhasil
3252289,Berhasil
